Gen : 0
86 : (2, 1, 0.0, 353.7648, 2.0, 0.0096)
87 : (1, 2, 0.0214, 169.0517, 0.0, 0.008)
88 : (10, 10, 0.0133, 256.5306, 1.4286, 0.0273)
89 : (10, 12, 0.0096, 116.3407, 1.5, 0.0108)
90 : (3, 17, 0.0293, 723.2106, 1.0, 0.0115)
91 : (17, 6, 0.0372, 422.3101, 3.0, 0.0195)
92 : (3, 12, 0.0, 548.0002, 1.0, 0.0151)
93 : (12, 8, 0.0, 235.1149, 2.4, 0.0192)
94 : (0, 3, 0.0587, 459.2285, 0.0, 0.0174)
95 : (3, 0, 0.0, 356.4557, 0.0, 0.0147)
96 : (17, 3, 0.0, 444.3678, 4.3333, 0.0239)
97 : (3, 18, 0.0, 243.207, 1.0, 0.0364)
98 : (1, 18, 0.0, 342.0987, 1.0, 0.0082)
99 : (18, 5, 0.0497, 257.5239, 3.6667, 0.0622)
100 : (3, 17, 0.0154, 138.8115, 1.0, 0.025)
101 : (17, 3, 0.0046, 230.7247, 3.3333, 0.0269)
102 : (4, 14, 0.0374, 238.4671, 1.0, 0.0188)
103 : (13, 5, 0.0052, 339.5023, 2.4, 0.0154)
104 : (3, 17, 0.0, 556.5862, 1.0, 0.0288)
105 : (17, 3, 0.0, 269.2115, 4.3333, 0.0612)
106 : (2, 18, 0.0, 573.2272, 1.0, 0.0208)
107 : (18, 2, 0.0239, 380.4132, 14.0, 0.0813)
108 : (3, 17, 0.0328, 504.0255, 1.0, 0.0313)
109 : (17, 4, 0.0207, 373.7238, 4.0, 0.0915)
110 : (3, 17, 0.0, 357.8754, 1.0, 0.0158)
111 : (17, 3, 0.0101, 349.3358, 4.5, 0.0287)
112 : (6, 15, 0.0, 431.7232, 1.0, 0.0175)
113 : (14, 9, 0.0138, 276.4893, 1.8333, 0.0227)
114 : (4, 4, 0.0293, 293.9853, 1.0, 0.0162)
115 : (4, 4, 0.0, 448.3815, 2.0, 0.0034)
116 : (17, 3, 0.0089, 234.8947, 4.3333, 0.0327)
117 : (3, 17, 0.044, 229.4333, 1.0, 0.0536)
118 : (7, 13, 0.0, 350.3359, 1.0, 0.0187)
119 : (13, 9, 0.0, 170.6595, 2.1667, 0.0196)
120 : (8, 13, 0.0, 333.642, 1.1667, 0.0248)
121 : (12, 9, 0.0092, 232.295, 1.5, 0.0167)
122 : (2, 18, 0.0, 484.114, 1.0, 0.0149)
123 : (18, 5, 0.0042, 364.4885, 3.3333, 0.0275)
124 : (3, 17, 0.0, 579.6923, 1.0, 0.0136)
125 : (17, 4, 0.0367, 316.5681, 5.3333, 0.0156)
126 : (3, 17, 0.0838, 511.4434, 1.0, 0.0222)
127 : (17, 3, 0.0285, 341.1479, 4.0, 0.0226)
128 : (2, 18, 0.0, 293.4914, 1.0, 0.0233)
129 : (18, 2, 0.034, 291.0641, 8.5, 0.0275)
130 : (3, 17, 0.1465, 559.561, 1.0, 0.0133)
131 : (17, 3, 0.0589, 373.2521, 5.6667, 0.0185)
132 : (7, 13, 0.0163, 423.4453, 1.2, 0.0201)
133 : (13, 7, 0.0176, 276.5954, 2.1667, 0.0175)
134 : (10, 10, 0.0154, 394.6416, 1.1667, 0.0373)
135 : (10, 10, 0.0549, 278.805, 1.4286, 0.0391)
